school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, address_line_2, postal_state, school_no,longitude, address_town, education_sector, full_phone_no,latitude, entity_type
Pri/Sec,327,3064,Mount Ridley P-12 College,2-30 Hampton Street,O,null,Craigieburn,VIC,3064,Hume (C),2-30 Hampton Street,null,VIC,8853,144.92342,Craigieburn,Government,03 8338 3600,-37.58027,1
Secondary,726,3029,Tarneit Senior College,P O BOX 8499,O,null,Tarneit,VIC,3029,Wyndham (C),861 Leakes Road,null,VIC,8854,144.6804,Tarneit,Government,03 9749 0246,-37.83335,1
Secondary,497,3800,John Monash Science School,P O Box 8016,O,null,Monash University,VIC,3800,Monash (C),39 Innovation Walk,Monash University,VIC,8856,145.1287,Clayton,Government,03 9905 1002,-37.91422,1
Pri/Sec,311,3018,Altona P-9 College,Private Bag 9,O,null,Altona,VIC,3018,Hobsons Bay (C),103 A Grieve Parade,null,VIC,8857,144.81726,Altona,Government,03 9250 8050,-37.86152,1
Secondary,267,3175,Dandenong High School,P O Box 681,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),92-106 Princes Highway,null,VIC,8858,145.20901,Dandenong,Government,03 9792 0561,-37.97942,1
Pri/Sec,311,3028,Laverton P-12 College,P O Box 243,O,null,Laverton,VIC,3028,Hobsons Bay (C),91 Bladin Street,null,VIC,8861,144.77263,Laverton,Government,03 9369 1833,-37.85617,1
Secondary,327,3047,Hume Central Secondary College,P O Box 159,O,null,DALLAS,VIC,3047,Hume (C),60-78 Tanderrum Way,null,VIC,8862,144.91536,Broadmeadows,Government,03 9066 3600,-37.68038,1
Secondary,161,3806,Nossal High School,P O Box 1036,O,null,NARRE WARREN,VIC,3805,Casey (C),100 Clyde Road,null,VIC,8865,145.33656,Berwick,Government,03 8762 4600,-38.0385,1
Secondary,726,3030,Suzanne Cory High School,PO Box 531,O,null,Werribee,VIC,3030,Wyndham (C),225 Hoppers Lane,null,VIC,8866,144.70074,Werribee,Government,03 8734 2800,-37.89385,1
Secondary,267,3172,Keysborough Secondary College,8-20 Janine Road,O,null,Springvale South,VIC,3172,Greater Dandenong (C),8-20 Janine Road,null,VIC,8867,145.15936,Springvale South,Government,03 9546 4144,-37.967,1
Secondary,161,3803,Hallam Senior Secondary College,P O Box 5031,O,null,Hallam,VIC,3803,Casey (C),74-84 Frawley Road,null,VIC,8868,145.26093,Hallam,Government,03 9703 1266,-38.0002,1
Secondary,161,3802,Gleneagles Secondary College,P O Box 185,O,null,Endeavour Hills,VIC,3802,Casey (C),58 Reema Boulevard,null,VIC,8869,145.27628,Endeavour Hills,Government,03 9708 1319,-37.97435,1
