school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,111,3104,Balwyn North Primary School,Buchanan Avenue,O,null,BALWYN NORTH,VIC,3104,Boroondara (C),Buchanan Avenue,703,null,4638,VIC,Balwyn North,Government,03 9859 4258,1,-37.79638413,145.0764973
Primary,111,3147,Solway Primary School,Winton Road,O,null,ASHBURTON,VIC,3147,Boroondara (C),Winton Road,704,null,4641,VIC,Ashburton,Government,03 9885 2421,1,-37.873238,145.07283
Primary,189,3072,Newlands Primary School,P O Box 778 Newlands Estate,O,null,East Coburg,VIC,3058,Darebin (C),2-26 Murphy Street,707,null,4646,VIC,Preston,Government,03 9354 2928,1,-37.730062,144.984747
Primary,534,3927,Somers School Camp,124 Lord Somers Road,O,null,SOMERS,VIC,3927,Mornington Peninsula (S),124 Lord Somers Road,708,null,4647,VIC,Somers,Government,03 5983 5302,1,-38.388785,145.145747
Primary,534,3941,Tootgarook Primary School,P O Box 242,O,null,RYE,VIC,3941,Mornington Peninsula (S),Carmichael Street,712,null,4661,VIC,Tootgarook,Government,03 5985 2864,1,-38.369477,144.857321
Primary,311,3015,Newport Gardens Primary School,P O Box 3183,O,null,NEWPORT,VIC,3015,Hobsons Bay (C),Cnr Woods St & Maddox Rd,715,null,4665,VIC,Newport,Government,03 9391 2168,1,-37.84488,144.867692
Primary,635,3145,Malvern Valley Primary School,Abbotsford Avenue,O,null,MALVERN EAST,VIC,3145,Stonnington (C),Abbotsford Avenue,717,null,4669,VIC,Malvern East,Government,03 9569 5820,1,-37.880801,145.081553
Special,111,3103,Belmore School,49 Stroud Street,O,null,BALWYN,VIC,3103,Boroondara (C),49 Stroud Street,719,null,4675,VIC,Balwyn,Government,03 9859 8762,1,-37.804284,145.081145
Special,189,3070,Croxton Special School,159-165 Beaconsfield Parade,O,null,NORTHCOTE,VIC,3070,Darebin (C),159-165 Beaconsfield Parade,720,null,4679,VIC,Northcote,Government,03 9482 5482,1,-37.76399724,144.9873978
Primary,217,3199,Frankston East Primary School,P O Box 7154,O,null,KARINGAL CENTRE,VIC,3199,Frankston (C),6A Ashleigh Avenue,722,null,4682,VIC,Frankston,Government,03 9789 9552,1,-38.14633,145.145122
Primary,745,3159,Selby Primary School,2 Morley Street,O,null,Selby,VIC,3159,Yarra Ranges (S),2 Morley Street,723,null,4685,VIC,Selby,Government,03 9754 2675,1,-37.91135772,145.366817
Primary,189,3073,Reservoir East Primary School,58 Boldrewood Parade,O,null,RESERVOIR,VIC,3073,Darebin (C),58 Boldrewood Parade,724,null,4686,VIC,Reservoir,Government,03 9460 1569,1,-37.719975,145.021837
Primary,231,3204,Tucker Road Bentleigh Primary School,P O Box 1341,O,null,MOORABBIN,VIC,3189,Glen Eira (C),16 Tucker Rd,725,null,4687,VIC,Bentleigh,Government,03 9557 2044,1,-37.932543,145.049012
Primary,111,3104,Greythorn Primary School,Reading Avenue,O,null,BALWYN NORTH,VIC,3104,Boroondara (C),Reading Avenue,729,null,4694,VIC,Balwyn North,Government,03 9857 9762,1,-37.801459,145.09588
Primary,441,3135,Eastwood Primary School,P O Box 225,O,null,RINGWOOD EAST,VIC,3135,Maroondah (C),Alexandra Road,734,null,4702,VIC,Ringwood East,Government,03 9870 6103,1,-37.817183,145.25247
Primary,525,3044,Pascoe Vale South Primary School,411 - 429 Reynard Street,O,null,PASCOE VALE SOUTH,VIC,3044,Moreland (C),411 - 429 Reynard Street,735,null,4704,VIC,Pascoe Vale South,Government,03 9386 4301,1,-37.745716,144.935615
Primary,707,3075,Lalor Primary School,P O Box 1045,O,null,LALOR,VIC,3075,Whittlesea (C),26 Maxwell Street,736,null,4709,VIC,Lalor,Government,03 9465 3037,1,-37.67067484,145.0258521
Primary,189,3073,Reservoir West Primary School,5a Carrington Road,O,null,RESERVOIR,VIC,3073,Darebin (C),5a Carrington Road,737,null,4711,VIC,Reservoir,Government,03 9478 8211,1,-37.722135,144.990229
Primary,231,3165,Coatesville Primary School,21 Mackie Road,O,null,BENTLEIGH EAST,VIC,3165,Glen Eira (C),21 Mackie Road,738,null,4712,VIC,Bentleigh East,Government,03 9570 1652,1,-37.920339,145.073236
Primary,698,3130,Old Orchard Primary School,88 KOONUNG ROAD,O,null,BLACKBURN NORTH,VIC,3130,Whitehorse (C),88 Koonung Road,739,null,4715,VIC,Blackburn North,Government,03 9877 7899,1,-37.807591,145.152388
Primary,497,3167,Huntingdale Primary School,Grange Street,O,null,OAKLEIGH SOUTH,VIC,3167,Monash (C),Grange Street,740,null,4716,VIC,Oakleigh South,Government,03 9544 2318,1,-37.913101,145.102276
Primary,698,3129,Box Hill North Primary School,P O Box 2030,O,null,BOX HILL NORTH,VIC,3129,Whitehorse (C),Elizabeth Street,741,null,4717,VIC,Box Hill North,Government,03 9890 5023,1,-37.800792,145.123311
Primary,367,3156,Ferntree Gully North Primary School,111 Forest Road,O,null,FERNTREE GULLY,VIC,3156,Knox (C),111 Forest Road,742,null,4718,VIC,Ferntree Gully,Government,03 9758 1662,1,-37.874787,145.299422
Primary,525,3046,Oak Park Primary School,Willett Avenue,O,null,Oak Park,VIC,3046,Moreland (C),Willett Avenue,744,null,4721,VIC,Oak Park,Government,03 9306 9182,1,-37.715675,144.914553
Primary,267,3175,Dandenong North Primary School,PO BOX 2080,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),117-125 Cleeland Street,745,null,4723,VIC,Dandenong,Government,03 9794 7899,1,-37.976563,145.215422
Primary,267,3174,Harrisfield Primary School,495 Princes Hwy,O,null,NOBLE PARK,VIC,3174,Greater Dandenong (C),495 Princes Hwy,748,null,4730,VIC,Noble Park,Government,03 9546 9210,1,-37.954424,145.179526
Primary,525,3044,Pascoe Vale North Primary School,Kent Road,O,null,PASCOE VALE,VIC,3044,Moreland (C),Kent Road,749,null,4731,VIC,Pascoe Vale,Government,03 9354 3343,1,-37.721258,144.94848
Primary,111,3104,Belle Vue Primary School,20 Highview Road,O,null,BALWYN NORTH,VIC,3104,Boroondara (C),20 Highview Road,750,null,4733,VIC,Balwyn North,Government,03 9859 6123,1,-37.781943,145.078733
Primary,118,3021,St Albans East Primary School,7-17 Station Avenue,O,null,ST ALBANS,VIC,3021,Brimbank (C),7-17 Station Avenue,753,null,4741,VIC,St Albans,Government,03 9366 2071,1,-37.741972,144.811045
Primary,118,3020,Sunshine Heights Primary School,1-19 Mailey Street,O,null,SUNSHINE,VIC,3020,Brimbank (C),1-19 Mailey Street,756,null,4744,VIC,Sunshine,Government,03 8311 7100,1,-37.792214,144.817806
Primary,118,3020,Sunshine North Primary School,65 - 71 Suffolk Road,O,null,SUNSHINE NORTH,VIC,3020,Brimbank (C),65 - 71 Suffolk Road,757,null,4745,VIC,Sunshine North,Government,03 9311 2400,1,-37.772179,144.837349
Primary,66,3084,Banyule Primary School,P O Box 7081 Greville Road,O,null,ROSANNA,VIC,3084,Banyule (C),Banyule Road,758,null,4746,VIC,Rosanna,Government,03 9459 0732,1,-37.743369,145.077646
Primary,66,3084,Rosanna Golf Links Primary School,Interlaken Parade,O,null,ROSANNA,VIC,3084,Banyule (C),Interlaken Parade,760,null,4753,VIC,Rosanna,Government,03 9457 4178,1,-37.735116,145.074532
Primary,343,3192,Cheltenham East Primary School,Silver Street,O,null,CHELTENHAM,VIC,3192,Kingston (C),Silver Street,761,null,4754,VIC,Cheltenham,Government,03 9583 5746,1,-37.965256,145.068353
Primary,161,3977,Cranbourne South Primary School,239 Pearcedale Road,O,null,CRANBOURNE SOUTH,VIC,3977,Casey (C),Pearcedale Road,762,null,4755,VIC,Cranbourne South,Government,03 9782 2999,1,-38.14839,145.24508
Primary,189,3072,Preston North East Primary School,P O Box 8114,O,null,EAST PRESTON,VIC,3072,Darebin (C),Cnr Laurel & Tyler Streets,765,null,4764,VIC,East Preston,Government,03 9478 8078,1,-37.733052,145.029455
Primary,327,3064,Craigieburn Primary School,P O Box 88,O,null,CRAIGIEBURN,VIC,3064,Hume (C),87 - 91 Grand Boulevard,768,null,4770,VIC,Craigieburn,Government,03 9308 1228,1,-37.582572,144.932871
Primary,231,3165,Valkstone Primary School,P O Box 101,O,null,BENTLEIGH EAST,VIC,3165,Glen Eira (C),Valkstone Street,772,null,4778,VIC,Bentleigh East,Government,03 9570 3986,1,-37.914608,145.057169
Primary,217,3199,Overport Primary School,Towerhill Road,O,null,FRANKSTON,VIC,3199,Frankston (C),Towerhill Road,773,null,4780,VIC,Frankston,Government,03 9783 8777,1,-38.160488,145.126972
Primary,433,3013,Wembley Primary School,32 St Leonards Ave,O,null,YARRAVILLE,VIC,3013,Maribyrnong (C),32 St Leonards Ave,774,null,4788,VIC,Yarraville,Government,03 9314 7054,1,-37.82048,144.874845
Special,433,3019,Rosamond Special School,P O Box 4255,O,null,WEST FOOTSCRAY,VIC,3012,Maribyrnong (C),276 Ballarat Road,775,null,4792,VIC,Braybrook,Government,03 9311 1511,1,-37.77963666,144.8554086
Primary,343,3196,Bonbeach Primary School,29-63 Breeze Street,O,null,BONBEACH,VIC,3196,Kingston (C),29-63 Breeze Street,776,null,4798,VIC,Bonbeach,Government,03 9772 3471,1,-38.066598,145.12674
Primary,267,3171,Heatherhill Primary School,959 Heatherton Road,O,null,SPRINGVALE,VIC,3171,Greater Dandenong (C),959 Heatherton Road,777,null,4802,VIC,Springvale,Government,03 9546 7562,1,-37.962711,145.158474
Primary,91,3193,Beaumaris North Primary School,Wood Street,O,null,BEAUMARIS,VIC,3193,Bayside (C),Wood Street,778,null,4803,VIC,Beaumaris,Government,03 9589 5449,1,-37.974138,145.036273
Primary,267,3174,Yarraman Oaks Primary School,27 Liege Avenue,O,null,NOBLE PARK,VIC,3174,Greater Dandenong (C),27 Liege Avenue,780,null,4807,VIC,Noble Park,Government,03 9792 4406,1,-37.970289,145.191525
Primary,698,3131,Mount Pleasant Road Nunawading Primary School,P O Box 640,O,null,BRENTFORD SQUARE,VIC,3131,Whitehorse (C),Mt Pleasant Road,781,null,4808,VIC,Nunawading,Government,03 9878 1730,1,-37.82871,145.180128
Primary,525,3046,Glenroy West Primary School,P O Box 547,O,null,GLENROY,VIC,3046,Moreland (C),York Street,782,null,4809,VIC,Glenroy,Government,03 9306 8955,1,-37.705045,144.90843
Primary,267,3175,Dandenong South Primary School,P O Box 1057,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),52 Kirkham Road,783,null,4810,VIC,Dandenong,Government,03 9792 3726,1,-37.998498,145.212015
Primary,118,3021,St Albans North Primary School,George Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),George Street,784,null,4811,VIC,St Albans,Government,03 9366 2029,1,-37.731684,144.801314
Primary,506,3034,Avondale Primary School,P O Box 8,O,null,AVONDALE HEIGHTS,VIC,3034,Moonee Valley (C),Clarendon St,785,null,4812,VIC,Avondale Heights,Government,03 9318 1755,1,-37.766157,144.861529
Primary,421,3109,Beverley Hills Primary School,P O Box 77,O,null,DONCASTER EAST,VIC,3109,Manningham (C),2 - 14 Cassowary Street,786,null,4813,VIC,Doncaster East,Government,03 9842 1428,1,-37.796933,145.15887
Primary,217,3199,Frankston Heights Primary School,10 Kalmia Street,O,null,FRANKSTON,VIC,3199,Frankston (C),10 Kalmia Street,788,null,4815,VIC,Frankston,Government,03 9783 4988,1,-38.162278,145.146711
Primary,698,3129,Kerrimuir Primary School,P O Box 135,O,null,KERRIMUIR,VIC,3129,Whitehorse (C),178 Dorking Road,789,null,4816,VIC,Box Hill North,Government,03 9898 1494,1,-37.803634,145.135123
Primary,441,3135,Heathmont East Primary School,P O Box 505,O,null,HEATHMONT,VIC,3135,Maroondah (C),Louis Street,790,null,4819,VIC,Heathmont,Government,03 9729 5439,1,-37.830346,145.257688
Primary,506,3041,Strathmore North Primary School,"Mascoma Street,",O,null,STRATHMORE,VIC,3041,Moonee Valley (C),Mascoma Street,791,null,4821,VIC,Strathmore,Government,03 9379 6575,1,-37.724859,144.916146
Primary,497,3167,Oakleigh South Primary School,RILEY STREET,O,null,OAKLEIGH SOUTH,VIC,3167,Monash (C),Riley Street,792,null,4823,VIC,Oakleigh South,Government,03 9570 1016,1,-37.923377,145.0946
Primary,707,3074,Thomastown East Primary School,82 Cedar Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),82 Cedar Street,793,null,4827,VIC,Thomastown,Government,03 9465 3032,1,-37.680455,145.0251341
Primary,497,3149,Mount Waverley Heights Primary School,36 Solomon Street,O,null,Mount Waverley,VIC,3149,Monash (C),36 Solomon Street,794,null,4832,VIC,Mount Waverley,Government,03 9807 8120,1,-37.889201,145.11176
Primary,231,3165,East Bentleigh Primary School,Bignell Road,O,null,East Bentleigh,VIC,3165,Glen Eira (C),Bignell Road,795,null,4837,VIC,East Bentleigh,Government,03 9570 3525,1,-37.934649,145.069921
Primary,66,3087,Watsonia Primary School,P O Box 175,O,null,WATSONIA,VIC,3087,Banyule (C),Nell Street West,796,null,4838,VIC,Watsonia,Government,03 9435 2917,1,-37.70643,145.086625
Primary,343,3195,Parktone Primary School,Robert Street,O,null,Parkdale,VIC,3195,Kingston (C),Robert Street,797,null,4843,VIC,Parkdale,Government,03 9580 1207,1,-37.98704,145.087618
Primary,698,3132,Antonio Park Primary School,631-639 Whitehorse Road,O,null,MITCHAM,VIC,3132,Whitehorse (C),631-639 Whitehorse Road,798,null,4844,VIC,Mitcham,Government,03 9874 4371,1,-37.816199,145.206052
Primary,189,3083,Kingsbury Primary School,1A Maryborough Ave,O,null,KINGSBURY,VIC,3083,Darebin (C),1A Maryborough Avenue,799,null,4845,VIC,Kingsbury,Government,03 9462 2711,1,-37.716025,145.037204
Special,231,3204,Katandra School,P O Box 298,O,null,ORMOND,VIC,3204,Glen Eira (C),2 Walsh Street,800,null,4846,VIC,Ormond,Government,03 9578 6991,1,-37.902061,145.040738
Primary,118,3022,Ardeer Primary School,Suspension Street,O,null,ARDEER,VIC,3022,Brimbank (C),Suspension Street,801,null,4848,VIC,Ardeer,Government,03 9363 1194,1,-37.780957,144.800473
Primary,343,3169,Westall Primary School,P O Box 1120,O,null,CLAYTON SOUTH,VIC,3169,Kingston (C),Fairbank Road,802,null,4851,VIC,Clayton South,Government,03 9546 8964,1,-37.942431,145.135824
Primary,327,3043,Tullamarine Primary School,"Broadmeadows Road,",O,null,TULLAMARINE,VIC,3043,Hume (C),Broadmeadows Road,803,null,4852,VIC,Tullamarine,Government,03 9338 2826,1,-37.702204,144.87957
Primary,421,3114,Park Orchards Primary School,P O Box 59,O,null,PARK ORCHARDS,VIC,3114,Manningham (C),1-3 Bowmore Avenue,805,null,4854,VIC,Park Orchards,Government,03 9876 1249,1,-37.779724,145.215817
Primary,118,3020,Albion North Primary School,67-73 Furlong Road,O,null,SUNSHINE NORTH,VIC,3020,Brimbank (C),67-73 Furlong Road,806,null,4855,VIC,Sunshine North,Government,03 9312 5900,1,-37.76269,144.823899
Primary,698,3130,Blackburn Lake Primary School,12 - 14 Florence Street,O,null,BLACKBURN,VIC,3130,Whitehorse (C),12 - 14 Florence Street,807,null,4860,VIC,Blackburn,Government,03 9894 2855,1,-37.827601,145.166097
Primary,698,3130,Laburnum Primary School,Janet Street,O,null,Blackburn,VIC,3130,Whitehorse (C),Janet Street,808,null,4863,VIC,Blackburn,Government,03 9898 5811,1,-37.827083,145.138753
Special,421,3111,Heatherwood School,370-380 Springvale Road,O,null,DONVALE,VIC,3111,Manningham (C),370-380 Springvale Road,810,null,4871,VIC,Donvale,Government,03 9842 8319,1,-37.80033733,145.1780362
Primary,497,3149,Pinewood Primary School,27-35 Pinewood Drive,O,null,Mount Waverley,VIC,3149,Monash (C),27-35 Pinewood Drive,812,null,4874,VIC,Mount Waverley,Government,03 8847 3200,1,-37.890157,145.14221
Primary,327,3047,Broadmeadows Primary School,P O Box 132,O,null,DALLAS,VIC,3047,Hume (C),62-70 Blair Street,813,null,4875,VIC,Broadmeadows,Government,03 9302 6060,1,-37.68042434,144.9291021
Primary,525,3060,Moomba Park Primary School,P O Box 85,O,null,FAWKNER,VIC,3060,Moreland (C),111 Anderson Road,814,null,4876,VIC,Fawkner,Government,03 9359 2028,1,-37.695789,144.966573
Primary,506,3033,Keilor Heights Primary School,Ronald Grove,O,null,KEILOR EAST,VIC,3033,Moonee Valley (C),Ronald Grove,815,null,4877,VIC,Keilor East,Government,03 9336 1739,1,-37.737516,144.866495
Primary,441,3136,Ainslie Parklands Primary School,P O Box 8153,O,null,BURNT BRIDGE,VIC,3136,Maroondah (C),Hinkley Ave,816,null,4879,VIC,Croydon,Government,03 9870 1566,1,-37.793786,145.264244
Primary,698,3131,Parkmore Primary School,38-54 Jolimont Road,O,null,FOREST HILL,VIC,3131,Whitehorse (C),38-54 Jolimont Road,817,null,4881,VIC,Forest Hill,Government,03 9878 5556,1,-37.843634,145.175731
Primary,161,3977,Cranbourne Park Primary School,P O Box 659,O,null,CRANBOURNE,VIC,3977,Casey (C),1 Tucker Street,820,null,4887,VIC,Cranbourne,Government,03 5996 1142,1,-38.103932,145.277482
Primary,66,3084,Viewbank Primary School,"Nevin Parade,",O,null,VIEWBANK,VIC,3084,Banyule (C),Nevin Parade,821,null,4892,VIC,Viewbank,Government,03 9459 1512,1,-37.73473,145.08999
Primary,66,3088,Greenhills Primary School,Mine St,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),Mine Street,822,null,4893,VIC,Greensborough,Government,03 9435 4181,1,-37.692278,145.118648
Primary,745,3158,Upwey South Primary School,P O Box 1158,O,null,UPWEY,VIC,3158,Yarra Ranges (S),91 Morris Road,823,null,4894,VIC,Upwey,Government,03 9757 0200,1,-37.91313917,145.3268393
Primary,571,3095,Eltham East Primary School,P O Box 396,O,null,ELTHAM,VIC,3095,Nillumbik (S),Grove Street,826,null,4897,VIC,Eltham,Government,03 9439 9793,1,-37.71147745,145.1551034
Primary,217,3198,Belvedere Park Primary School,30 Belvedere Road,O,null,SEAFORD,VIC,3198,Frankston (C),30 Belvedere Road,827,null,4902,VIC,Seaford,Government,03 9786 3205,1,-38.109716,145.146813
Primary,497,3149,Essex Heights Primary School,22 - 30 Essex Road,O,null,MOUNT WAVERLEY,VIC,3149,Monash (C),22-30 Essex Road,828,null,4903,VIC,Mount Waverley,Government,03 9807 4944,1,-37.862945,145.115107
Primary,367,3156,Mountain Gate Primary School,P O Box 1047,O,null,MOUNTAIN GATE,VIC,3156,Knox (C),Adele Avenue,829,null,4905,VIC,Ferntree Gully,Government,03 9758 2811,1,-37.886296,145.268773
Primary,367,3156,Fairhills Primary School,Manuka Drive,O,null,FERNTREE GULLY,VIC,3156,Knox (C),Manuka Drive,830,null,4906,VIC,Ferntree Gully,Government,03 9758 3007,1,-37.869247,145.265708
Primary,367,3155,Boronia West Primary School,25 Tormore Road,O,null,BORONIA,VIC,3155,Knox (C),25 Tormore Road,831,null,4908,VIC,Boronia,Government,03 9762 2510,1,-37.858563,145.278481
Primary,343,3189,Southmoor Primary School,Rica Street,O,null,MOORABBIN,VIC,3189,Kingston (C),Rica Street,832,null,4910,VIC,Moorabbin,Government,03 9555 1235,1,-37.941834,145.055962
Primary,441,3134,Ringwood Heights Primary School,60 Summit Crescent,O,null,RINGWOOD NORTH,VIC,3134,Maroondah (C),60 Summit Crescent,833,null,4911,VIC,Ringwood North,Government,03 9870 3050,1,-37.80286,145.217809
Special,525,3046,Glenroy Specialist School,208 Hilton St,O,null,GLENROY,VIC,3046,Moreland (C),208 Hilton St,834,null,4915,VIC,Glenroy,Government,03 9304 2263,1,-37.69935785,144.9205292
Primary,441,3136,Ruskin Park Primary School,18- 20 Ruskin Avenue,O,null,Croydon,VIC,3136,Maroondah (C),18 - 20 Ruskin Ave,835,null,4916,VIC,Croydon,Government,03 9723 3886,1,-37.798944,145.29616
Special,267,3175,Emerson School,1430 Heatherton Road,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),1430 Heatherton Road,836,null,4918,VIC,Dandenong,Government,03 9791 8900,1,-37.969865,145.208098
Primary,217,3199,Karingal Primary School,P O Box 6112,O,null,KARINGAL,VIC,3199,Frankston (C),Mallum Avenue,838,null,4922,VIC,Frankston,Government,03 9789 0514,1,-38.137924,145.152277
Primary,497,3150,Mount View Primary School,Shepherd Road,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),Shepherd Road,839,null,4923,VIC,Glen Waverley,Government,03 9560 0471,1,-37.883549,145.178848
Primary,497,3149,Syndal South Primary School,14 Montgomery Avenue,O,null,Mount Waverley,VIC,3149,Monash (C),14 Montgomery Avenue,840,null,4924,VIC,Mount Waverley,Government,03 9802 5277,1,-37.879094,145.142973
Primary,66,3094,Montmorency South Primary School,P O Box 82,O,null,MONTMORENCY,VIC,3094,Banyule (C),64 Buena Vista Drive,841,null,4925,VIC,Montmorency,Government,03 9439 6201,1,-37.725583,145.129831
Special,91,3188,Berendale School,P O Box 2073,O,null,Moorabbin,VIC,3189,Bayside (C),2 Berend Street,842,null,4928,VIC,Hampton East,Government,03 9555 6141,1,-37.938959,145.031808
Primary,311,3025,Altona North Primary School,Post Office Box 218,O,null,ALTONA NORTH,VIC,3025,Hobsons Bay (C),51 Cresser Street,843,null,4931,VIC,Altona North,Government,03 9391 4572,1,-37.836928,144.849365
Primary,698,3151,Burwood Heights Primary School,Cnr Hawthorn & Mahoneys Rds,O,null,Burwood East,VIC,3151,Whitehorse (C),Cnr Hawthorn & Mahoneys Rds,844,null,4932,VIC,Burwood East,Government,03 9803 8311,1,-37.84674269,145.1627393
Primary,66,3088,Watsonia Heights Primary School,61 Henry Street,O,null,GREENSBOROUGH,VIC,3088,Banyule (C),61 Henry Street,846,null,4935,VIC,Greensborough,Government,03 9435 4617,1,-37.715299,145.100728
Primary,745,3138,Pembroke Primary School,P O Box 62,O,null,MOOROOLBARK,VIC,3138,Yarra Ranges (S),Pembroke Road,848,null,4937,VIC,Mooroolbark,Government,03 9725 6689,1,-37.79595862,145.3254923
Special,421,3105,Bulleen Heights School,P O Box 5,O,null,BULLEEN,VIC,3105,Manningham (C),49-61 Pleasant Road,936,null,5099,VIC,Bulleen,Government,03 9850 7122,1,-37.763285,145.09506
Primary,217,3200,Mahogany Rise Primary School,P O Box 10037,O,null,Pines Forest,VIC,3200,Frankston (C),25 Forster Avenue,849,null,4939,VIC,Frankston North,Government,03 9786 3211,1,-38.125617,145.157399
Primary,66,3083,Bundoora Primary School,P O Box 245,O,null,WATSONIA,VIC,3087,Banyule (C),Balmoral Avenue,851,null,4944,VIC,Bundoora,Government,03 9467 2601,1,-37.707339,145.062989
Primary,118,3021,University Park Primary School,Lister Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),Lister Street,852,null,4945,VIC,St Albans,Government,03 9366 1356,1,-37.755063,144.803018
Primary,118,3021,St Albans Heights Primary School,Norwich Street,O,null,ST ALBANS,VIC,3021,Brimbank (C),Norwich Street,853,null,4948,VIC,St Albans,Government,03 9366 3127,1,-37.748474,144.809689
Special,327,3047,Hume Valley School,15--41 Koroit Ave,O,null,Broadmeadows,VIC,3047,Hume (C),15- 41 Koroit Avenue,855,null,4950,VIC,Broadmeadows,Government,03 9309 3477,1,-37.672396,144.927013
Primary,343,3194,Mentone Park Primary School,Broome Avenue,O,null,MENTONE,VIC,3194,Kingston (C),Broome Avenue,856,null,4955,VIC,Mentone,Government,03 9583 4935,1,-37.98001,145.082797
Primary,421,3111,Donvale Primary School,P O Box 132,O,null,DONCASTER EAST,VIC,3109,Manningham (C),Elata Street,857,null,4961,VIC,Donvale,Government,03 9842 3373,1,-37.800486,145.173655
Primary,367,3155,Boronia Heights Primary School,Landscape Drive,O,null,BORONIA,VIC,3155,Knox (C),Landscape Drive,859,null,4967,VIC,Boronia,Government,03 9729 2614,1,-37.844571,145.296485
Special,497,3150,Glenallen School,7 Allen Street,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),7 Allen Street,860,null,4968,VIC,Glen Waverley,Government,03 9561 1966,1,-37.8883595,145.1617465
Primary,367,3153,Bayswater South Primary School,29 Enfield Drive,O,null,BAYSWATER,VIC,3153,Knox (C),29 Enfield Drive,863,null,4973,VIC,Bayswater,Government,03 9729 2862,1,-37.854897,145.261347
Primary,217,3198,Seaford North Primary School,P O Box 305,O,null,SEAFORD,VIC,3198,Frankston (C),81 Hallifax Street,864,null,4974,VIC,Seaford,Government,03 9786 5674,1,-38.09016,145.133607
Primary,707,3074,Lalor East Primary School,PO Box 1072,O,null,LALOR,VIC,3075,Whittlesea (C),39 Cleveland Street,866,null,4976,VIC,Thomastown,Government,03 9465 4350,1,-37.67653306,145.034964
Special,118,3021,Jackson School,Mulhall Drive,O,null,ST ALBANS,VIC,3021,Brimbank (C),Mulhall Drive,867,null,4979,VIC,St Albans,Government,03 9366 4322,1,-37.756022,144.814184
Primary,460,3053,Carlton Primary School,Cnr Palmerston & Drummond Sts,O,null,CARLTON,VIC,3053,Melbourne (C),Cnr Palmerston & Drummond Sts,868,null,4980,VIC,Carlton,Government,03 9347 6022,1,-37.795602,144.97045
Primary,421,3107,Templestowe Valley Primary School,P O Box 117,O,null,BULLEEN,VIC,3105,Manningham (C),15 Birchwood Avenue,870,null,4985,VIC,Lower Templestowe,Government,03 8850 5777,1,-37.760611,145.10938
Primary,497,3150,Highvale Primary School,33 ASHTON STREET,O,null,GLEN WAVERLEY,VIC,3150,Monash (C),33 Ashton Street,871,null,4986,VIC,Glen Waverley,Government,03 9887 8000,1,-37.866403,145.17421
Primary,66,3087,Watsonia North Primary School,16 Sharpes Road,O,null,WATSONIA NORTH,VIC,3087,Banyule (C),16 Sharpes Road,872,null,4988,VIC,Watsonia North,Government,03 9435 1285,1,-37.700521,145.080775
Primary,267,3175,Wooranna Park Primary School,89-105 CARLTON ROAD,O,null,DANDENONG,VIC,3175,Greater Dandenong (C),89-105 Carlton Road,873,null,4989,VIC,Dandenong,Government,03 9795 2007,1,-37.960303,145.216821
Primary,367,3180,Knox Park Primary School,Kathryn Road,O,null,KNOXFIELD,VIC,3180,Knox (C),Kathryn Road,874,null,4990,VIC,Knoxfield,Government,03 9763 6533,1,-37.883627,145.251402
Primary,421,3108,Birralee Primary School,Heyington Avenue,O,null,DONCASTER,VIC,3108,Manningham (C),Heyington Avenue,875,null,4991,VIC,Doncaster,Government,03 9848 4996,1,-37.793285,145.113341
Secondary,525,3060,John Fawkner Secondary College,P O Box 76,O,null,Fawkner,VIC,3060,Moreland (C),Jukes Road,1520,null,8894,VIC,Fawkner,Government,03 9359 1166,1,-37.70271075,144.9718587
Primary,217,3199,Derinya Primary School,Overport Road,O,null,FRANKSTON SOUTH,VIC,3199,Frankston (C),Overport Road,878,null,4996,VIC,Frankston South,Government,03 9787 3633,1,-38.174436,145.120945
Primary,707,3074,Thomastown West Primary School,98-112 Main Street,O,null,THOMASTOWN,VIC,3074,Whittlesea (C),98-112 Main Street,879,null,4999,VIC,Thomastown,Government,03 9465 4317,1,-37.67870395,145.0007873
Primary,367,3178,Rowville Primary School,P O Box 2439,O,null,ROWVILLE,VIC,3178,Knox (C),Paratea Drive,880,null,5000,VIC,Rowville,Government,03 9764 1955,1,-37.923156,145.237967
Primary,726,3029,Mossfiel Primary School,Langridge Street,O,null,HOPPERS CROSSING,VIC,3029,Wyndham (C),Langridge Street,881,null,5002,VIC,Hoppers Crossing,Government,03 9749 1227,1,-37.87293,144.695967
Primary,421,3107,Templestowe Heights Primary School,276-300 High Street,O,null,TEMPLESTOWE LOWER,VIC,3107,Manningham (C),276-300 High Street,882,null,5004,VIC,Templestowe Lower,Government,03 9850 1796,1,-37.767214,145.119353
