school_type, lga_id, address_postcode,school_name, postal_address_line_1, school_status, postal_address_line_2, postal_town, address_state, postal_postcode, lga_name, address_line_1, ogc_fid, address_line_2, school_no, postal_state, address_town, education_sector, full_phone_no, entity_type,y,x
Primary,367,3152,St Luke's School,25 Stokes Road,O,null,WANTIRNA,VIC,3152,Knox (C),25 Stokes Road,2013,null,1782,VIC,WANTIRNA,Catholic,03 9801 6917,2,-37.853378,145.235066
Primary,118,3020,St Peter's School,2A Killeen Street,O,null,SUNSHINE SOUTH WEST,VIC,3020,Brimbank (C),2A Killeen Street,2014,null,1784,VIC,SUNSHINE SOUTH WEST,Catholic,03 9312 3147,2,-37.800283,144.819619
Pri/Sec,707,3083,Northside Christian College,31 McLeans Rd,O,null,BUNDOORA,VIC,3083,Whittlesea (C),31 McLeans Rd,2015,null,1787,VIC,BUNDOORA,Independent,03 9467 2499,2,-37.69501422,145.0546707
Pri/Sec,189,3072,St John's College Preston,21 Railway Place West,O,null,PRESTON,VIC,3072,Darebin (C),21 Railway Place West,2016,null,1788,VIC,PRESTON,Independent,03 9480 5300,2,-37.747246,144.998743
Primary,441,3136,Good Shepherd Lutheran Primary School,53-57 Plymouth Rd,O,null,CROYDON HILLS,VIC,3136,Maroondah (C),53-57 Plymouth Rd,2017,null,1789,VIC,CROYDON HILLS,Independent,03 9725 8255,2,-37.782683,145.268615
Pri/Sec,745,3116,Oxley Christian College,PO Box 553,O,null,LILYDALE,VIC,3140,Yarra Ranges (S),15 - 49 Old Melbourne Rd,2018,null,1792,VIC,CHIRNSIDE PARK,Independent,03 9727 9900,2,-37.763573,145.30513
Pri/Sec,745,3793,Mountain District Christian School,PO Box 483,O,null,MONBULK,VIC,3793,Yarra Ranges (S),325 Macclesfield Road,2021,null,1795,VIC,MONBULK,Independent,03 9756 7244,2,-37.85664819,145.4527149
Secondary,433,3019,Caroline Chisholm Catholic College,204 Churchill Avenue,O,null,BRAYBROOK,VIC,3019,Maribyrnong (C),204 Churchill Avenue,2023,null,1801,VIC,BRAYBROOK,Catholic,03 9296 5311,2,-37.785858,144.8501
Primary,745,3796,St Mary's School,PO Box 317,O,null,MOUNT EVELYN,VIC,3796,Yarra Ranges (S),58 Clegg Road,2025,null,1804,VIC,MOUNT EVELYN,Catholic,03 9736 2219,2,-37.790516,145.395858
Primary,421,3114,St Anne's School,60 Knees Road,O,null,PARK ORCHARDS,VIC,3114,Manningham (C),60 Knees Road,2026,null,1805,VIC,PARK ORCHARDS,Catholic,03 9876 1533,2,-37.773303,145.218594
Primary,327,3064,Our Lady's School,Craigieburn Road West,O,null,CRAIGIEBURN,VIC,3064,Hume (C),Craigieburn Road West,2028,null,1807,VIC,CRAIGIEBURN,Catholic,03 9308 2011,2,-37.598603,144.931372
Primary,217,3199,St Augustine's School,80 Golf Links Road,O,null,FRANKSTON SOUTH,VIC,3199,Frankston (C),80 Golf Links Road,2029,null,1808,VIC,FRANKSTON SOUTH,Catholic,03 9781 3007,2,-38.172048,145.145871
Primary,707,3082,St Francis of Assisi School,290-312 Childs Road,O,null,MILL PARK,VIC,3082,Whittlesea (C),290-312 Childs Road,2030,null,1809,VIC,MILL PARK,Catholic,03 9407 3100,2,-37.66499475,145.0589142
Secondary,66,3087,Loyola College,325 Grimshaw Street,O,null,WATSONIA,VIC,3087,Banyule (C),325 Grimshaw Street,2031,null,1810,VIC,WATSONIA,Catholic,03 9434 4466,2,-37.703396,145.08073
Secondary,465,3337,Catholic Regional College,PO Box 530,O,null,MELTON,VIC,3337,Melton (C),109-141 Bulman's Road,2032,null,1811,VIC,MELTON,Catholic,03 8099 6000,2,-37.677246,144.550411
